Character,Win,Stage,L-Cancel Successes,L-Cancel Failures,Max Combo,Mean X Distance,Platform
CAPTAIN_FALCON,1,BATTLEFIELD,49,2,2,0.05714285714285715,right_platform
FOX,0,FINAL_DESTINATION,37,3,4,0.22157528845757354,left_ledge
CAPTAIN_FALCON,1,FINAL_DESTINATION,46,2,2,0.06504065040650407,left_ledge
FOX,0,FINAL_DESTINATION,33,4,4,0.21680328824626866,left_ledge
CAPTAIN_FALCON,1,FINAL_DESTINATION,52,3,2,0.06504065040650407,right_ledge
FOX,0,BATTLEFIELD,37,4,4,0.18414118289217427,right_platform
FOX,1,BATTLEFIELD,46,4,4,0.3139285714285714,left_platform
FOX,0,BATTLEFIELD,40,1,4,0.18836855294602678,right_platform
FOX,1,BATTLEFIELD,37,5,4,0.05714285714285715,left_platform
FOX,0,DREAM_LAND_N64,32,3,1,0.19846631565318718,right_ledge
FOX,1,DREAM_LAND_N64,36,2,4,0.0,left_platform
FOX,1,BATTLEFIELD,19,0,0,0.1665481884057971,right_platform
SHEIK,0,BATTLEFIELD,14,0,0,0.1732142857142857,right_platform
FOX,1,BATTLEFIELD,13,1,1,0.178285637425702,right_platform
SHEIK,0,BATTLEFIELD,63,8,3,0.25392857142857145,right_platform
FOX,1,YOSHIS_STORY,14,0,4,0.2076515359059268,left_platform
SHEIK,0,YOSHIS_STORY,47,2,4,0.006012024048096177,left_platform
FALCO,0,YOSHIS_STORY,17,2,1,0.17722407348867217,left_platform
SHEIK,1,YOSHIS_STORY,66,7,2,0.006012024048096177,left_platform
FALCO,1,DREAM_LAND_N64,18,0,6,0.18821362966666288,left_platform
SHEIK,0,DREAM_LAND_N64,46,1,1,0.28317647058823525,left_platform
FALCO,0,DREAM_LAND_N64,36,3,4,0.17788731002781735,left_platform
FOX,1,DREAM_LAND_N64,46,1,4,0.31054901960784315,left_platform
FALCO,0,FOUNTAIN_OF_DREAMS,35,8,4,0.1926992474656994,right_platform
FOX,1,FOUNTAIN_OF_DREAMS,47,2,2,0.0,left_ledge
FALCO,0,FOUNTAIN_OF_DREAMS,10,2,1,0.1681250475614942,right_platform
