Character,Win,Stage,L-Cancel Successes,L-Cancel Failures,Max Combo,Mean X Distance,Platform_left_ledge,Platform_left_platform,Platform_right_ledge,Platform_right_platform,Platform_top_platform
MARTH,0,FINAL_DESTINATION,27,9,2,0.2205151475602288,0.0,0.0,1.0,0.0,0.0
SHEIK,1,FINAL_DESTINATION,27,9,4,0.1017073170731707,1.0,0.0,0.0,0.0,0.0
MARTH,0,FINAL_DESTINATION,24,3,2,0.2370276572757079,0.0,0.0,1.0,0.0,0.0
SHEIK,1,FINAL_DESTINATION,24,3,6,0.2032520325203252,0.0,0.0,1.0,0.0,0.0
FALCO,0,BATTLEFIELD,5,1,0,0.1327137638577041,0.0,1.0,0.0,0.0,0.0
FOX,1,BATTLEFIELD,5,1,0,0.0920089285714285,0.0,0.0,0.0,1.0,0.0
SAMUS,0,BATTLEFIELD,15,10,10,0.1730703697554382,0.0,0.0,0.0,1.0,0.0
SHEIK,1,BATTLEFIELD,15,10,4,0.0571428571428571,0.0,1.0,0.0,0.0,0.0
SAMUS,0,DREAM_LAND_N64,10,11,12,0.1867754593346836,0.0,1.0,0.0,0.0,0.0
SHEIK,1,DREAM_LAND_N64,10,11,6,0.0,0.0,0.0,0.0,1.0,0.0
SAMUS,0,DREAM_LAND_N64,9,3,10,0.1759864784570667,0.0,1.0,0.0,0.0,0.0
SHEIK,1,DREAM_LAND_N64,9,3,2,0.0,0.0,0.0,0.0,1.0,0.0
SHEIK,0,BATTLEFIELD,1,1,0,0.2018028151526097,0.0,1.0,0.0,0.0,0.0
FOX,1,BATTLEFIELD,1,1,1,0.0571428571428571,0.0,0.0,0.0,1.0,0.0
SHEIK,1,BATTLEFIELD,11,2,1,0.1886514771896857,0.0,1.0,0.0,0.0,0.0
FOX,0,BATTLEFIELD,11,2,4,0.0571428571428571,0.0,0.0,0.0,1.0,0.0
SHEIK,0,YOSHIS_STORY,12,0,1,0.2020746515075532,0.0,0.0,0.0,0.0,1.0
FOX,1,YOSHIS_STORY,12,0,3,0.0060120240480961,0.0,0.0,0.0,1.0,0.0
SHEIK,1,DREAM_LAND_N64,6,1,6,0.2154414808995384,0.0,1.0,0.0,0.0,0.0
FOX,0,DREAM_LAND_N64,6,1,4,0.3139999999999999,0.0,1.0,0.0,0.0,0.0
SHEIK,0,FOUNTAIN_OF_DREAMS,19,4,1,0.1756733938749691,0.0,1.0,0.0,0.0,0.0
FOX,1,FOUNTAIN_OF_DREAMS,19,4,3,0.0,1.0,0.0,0.0,0.0,0.0
ZELDA,1,YOSHIS_STORY,27,2,1,0.2312597938217893,0.0,1.0,0.0,0.0,0.0
FOX,0,YOSHIS_STORY,27,2,0,0.0258803320927569,0.0,0.0,0.0,1.0,0.0
FOX,0,FOUNTAIN_OF_DREAMS,56,4,4,0.1911151756335116,0.0,0.0,0.0,1.0,0.0
SHEIK,1,FOUNTAIN_OF_DREAMS,56,4,1,0.0,0.0,0.0,0.0,1.0,0.0
SHEIK,0,FINAL_DESTINATION,11,1,2,0.2335059002289052,1.0,0.0,0.0,0.0,0.0
FOX,1,FINAL_DESTINATION,11,1,4,0.065040650406504,0.0,0.0,1.0,0.0,0.0
FOX,1,YOSHIS_STORY,45,6,5,0.2234690143225978,0.0,0.0,0.0,1.0,0.0
SHEIK,0,YOSHIS_STORY,45,6,3,0.3256226739192672,0.0,0.0,0.0,1.0,0.0
FOX,0,BATTLEFIELD,51,6,4,0.1932855397859469,0.0,1.0,0.0,0.0,0.0
SHEIK,1,BATTLEFIELD,51,6,6,0.3139285714285714,0.0,1.0,0.0,0.0,0.0
SHEIK,1,BATTLEFIELD,9,0,1,0.1958028760759666,0.0,0.0,0.0,1.0,0.0
FOX,0,BATTLEFIELD,9,0,3,0.6352232142857143,0.0,1.0,0.0,0.0,0.0
